,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
25268,MAXXICASE,5380321,4,25,4661300,"4662100,4732600,4744001,4781400,4729699,2950600,3314711,4614100,4530705,7731400,7719599",MT,9069,Parceiros,1,0,0,1,0,0
25411,AGRICASE,5444853,11,8,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",PR,7571,Parceiros,1,0,0,0,0,1
25887,BUGIO TRATORES LTDA.,14644584,3,4,4661300,"3314711,3314712",SC,8339,Parceiros,1,0,0,1,1,0
26430,AGRICASE,5444853,13,70,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",MS,9093,Parceiros,1,0,0,0,0,1
26884,MAMORE MAQUINAS AGRICOLAS,19614838,1,1,4661300,"2831300,2950600,3314711,4530705,4614100,4662100,4729699,4732600,4744001,4781400,7719599,7731400",RO,9,Parceiros,1,0,0,1,0,0
27111,GRANDTEC,15727764,1,50,4661300,"0161099,3314711,3314712,4512901,4614100,4662100,4732600,4744001,4930202,7490104,7731400,8599604",TO,9733,Parceiros,1,0,0,1,1,0
27168,RIVAL MAQUINAS AGRICOLAS,20695311,1,20,4661300,4662100,GO,9609,Parceiros,1,0,0,0,0,0
27257,MAXUM MAQUINAS E EQUIPAMENTOS LTDA,2227267,3,3,4661300,"3314711,3314712,3314716,4512901,4520001,4520002,4520003,4530703,4530705,4611700,4619200,4622200,4623103,4623199,4732600,4763601,4781400,4782201,4930201,4930202,7731400,8599699",BA,3877,Parceiros,1,0,0,1,1,1
27317,XINGU MAQUINAS E IMPLEMENTOS AGRICOLAS,21174220,1,1,4661300,"4681805,4614100,4520001",MT,9191,Parceiros,1,0,0,0,0,0
27461,FL IMPLEMENTOS,21646783,1,55,3314712,"3314711,4789099",RS,8423,Parceiros,0,0,0,1,1,0
27471,,21346829,3,82,4661300,"3314711,3314712",MT,9779,Parceiros,1,0,0,1,1,0
