,nome_fantasia,cnpj_basico,cnpj_ordem,cnpj_dv,cnae_princ,cnaes_sec,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200
99227,AGRO AMAZONIA,13563680,21,47,4683400,"4644302,0141502,4661300,4622200,4789099,4623109,4618499,7490103",GO,9373,Parceiros,1,1,0,0,0,0
99418,AGRO VALENTE,16599453,1,16,4661300,3314711,PR,7751,Parceiros,1,0,0,1,0,0
99691,"AGROSURE COMERCIO, IMPORTACAO E EXPORTACAO LTDA",13915142,1,20,4661300,,SP,6969,Parceiros,1,0,0,0,0,0
99991,MAQUINARIUM,10844643,1,75,3314711,"3321000,4661300,7731400",PR,7471,Parceiros,1,0,0,1,0,0
100030,,45942349,13,14,4661300,"4512901,4520001",MG,4763,Parceiros,1,0,0,0,0,0
100652,JUSTI,4800201,5,58,4661300,"4732600,4530705,4744001,4530703,3314711,4614100,4930202",BA,3863,Parceiros,1,0,0,1,0,0
101570,GRANDTEC,15727764,3,12,4661300,"0161099,3314711,3314712,4512901,4614100,4662100,4732600,4744001,4930202,7490104,7731400,8599604",TO,9241,Parceiros,1,0,0,1,1,0
102169,AGROJATO,19971864,1,89,4661300,"3314711,3314712,4614100",GO,9633,Parceiros,1,0,0,1,1,0
102796,COOPERCITRUS,45236791,161,95,4683400,"0161003,0162899,3314711,3321000,4520001,4530703,4530705,4623109,4644302,4649499,4661300,4692300,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789004,4789005,4789099,5211799,7112000,7120100,7490103,7490104,7500100,8230001,8599604",MG,4079,Parceiros,1,1,0,1,0,0
102992,AGROFEL,89286116,42,10,4661300,"0161001,3314711,4530705,4618499,4622200,4623106,4623199,4632001,4683400,4789002,4789099,6462000",RS,8595,Parceiros,1,1,0,1,0,0
103097,AGROTECNO,22941509,1,71,4661300,"3314711,4530701,4530702,4530703,4530704,4530705,4530706,4614100,4681805,4732600,4744001,4930201,4930202,4930203,5212500,7731400",MT,9925,Parceiros,1,0,1,1,0,0
103108,MJ AUTOMACAO AGRICOLA,25279136,1,3,3314712,4530703,GO,9227,Parceiros,0,0,0,0,1,0
103170,PRO-MAK COMERCIO DE MAQUINAS E IMPLEMENTOS AGRICOLAS,7840195,2,8,4661300,,MS,9073,Parceiros,1,0,0,0,0,0
103385,PINESSO MAQUINAS,1113855,6,4,4661300,"4511104,4669999,4530701,4530702,4520001,4681805,4683400,4520002,4614100,4612500,3314712,7731400,0161099",MT,9779,Parceiros,1,1,0,0,1,0
103445,,11887754,1,21,3314711,"3314712,4652400,4661300",MT,9925,Parceiros,1,0,0,1,1,0
105065,AGRICASE,5444853,17,1,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",MS,9113,Parceiros,1,0,0,0,0,1
105652,AGROTEC SEALBA TECNOLOGIA,32333139,1,43,4661300,"4611700,4614100,4930202,5211799,7420002,7490103",SE,3157,Parceiros,1,0,0,0,0,0
105903,,45236791,197,4,4683400,"0161003,0161099,3314711,3321000,4520001,4530703,4530705,4614100,4623101,4623109,4644302,4649499,4661300,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789004,4789005,4789099,5211799,5813100,7112000,7120100,7490103,7490104,7500100,7731400,8230001,8599604",MG,4031,Parceiros,1,1,0,1,0,0
107146,,45236791,209,74,4661300,"0161003,0161099,3313901,3314711,3321000,4321500,4520001,4530703,4530705,4614100,4673700,4742300,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789004,4789005,4789099,5211799,7112000,7490103,7731400,8230001,8599604",MG,5401,Parceiros,1,0,0,1,0,0
107420,,45236791,213,50,4661300,"0161003,0161099,3313901,3314711,3321000,4321500,4520001,4530703,4530705,4614100,4673700,4742300,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789004,4789005,4789099,5211799,7112000,7490103,7731400,8230001,8599604",MG,5403,Parceiros,1,0,0,1,0,0
107793,,26677742,5,73,4661300,"3314712,4614100,4681805,4781400,4789001,6619399,7731400,7739099",TO,9627,Parceiros,1,0,0,0,1,0
109066,MOTORAUTO,4043451,1,67,4662100,"4661300,3314712,3314716,3314717,7732201",AC,139,Parceiros,1,0,0,0,1,0
109115,,6061539,1,37,2833000,"2832100,3314711,3321000,4661300,7731400,4614100",SP,6863,Parceiros,1,0,0,1,0,0
109275,,95814927,2,52,4789099,"3314711,3314712,4541203,4541204,4541206,4661300",RS,8853,Parceiros,1,0,0,1,1,0
109308,,65095051,1,90,4662100,"4661300,4789099,5229002,8299799",MG,4101,Parceiros,1,0,0,0,0,0
109368,,2949160,3,79,4789099,"3314717,3314711,3314712,4669999,4530706,4313400,3314716,8599604,4662100,4661300,3321000,4930202,7731400",SP,6155,Parceiros,1,0,0,1,1,0
109405,,6216625,1,71,2833000,"2832100,3321000,4611700,4661300,7490103",RS,8785,Parceiros,1,0,0,0,0,0
109579,,95814927,1,71,4789099,"3314711,3314712,4541203,4541204,4541206,4661300",RS,8847,Parceiros,1,0,0,1,1,0
109617,F K EXPORT,5691807,1,31,4649499,"4530701,4633801,4639701,4641902,4642701,4643501,4646002,4647801,4649401,4649410,4661300,4672900,4673700,4679604,4679699,4930202,5211799",PR,7563,Parceiros,1,0,0,0,0,0
109798,SUPERIORIZAN,11051180,1,57,4530703,"3314711,3319800,3329599,4530701,4661300",GO,9373,Parceiros,1,0,0,1,0,0
110012,TOP COMPANY MACHINE DO BRASIL,15024021,1,14,4662100,"2950600,3314712,3314716,4530703,4541204,4661300,4693100,4744099,4930202,5212500,5250801,7312200,7711000,7731400,7732201",RN,1759,Parceiros,1,0,0,0,1,0
110161,,88397435,3,24,4930201,"4661300,4530702,4530701,0161003,0161099,6491300,4520001,4632003,4623106,0111301,0115600,4753900,4530703",RS,8749,Parceiros,1,0,0,0,0,0
110234,,2949160,9,64,4789099,"3321000,4930202,4614100,7731400,3314717,3314711,3314712,4669999,4530706,4313400,3314716,8599604,4662100,4661300",SP,6425,Parceiros,1,0,0,1,1,0
110428,RIMAVE,24147703,1,5,4530703,"4530704,4530705,4530706,4614100,4661300,4669999,3314711",GO,9571,Parceiros,1,0,1,1,0,0
110587,,90555202,7,88,4789099,"3313901,3313999,3314711,3314712,3321000,4321500,4530703,4530705,4612500,4613300,4614100,4661300,4663000,4669901,4669999,4672900,4673700,4681805,4687702,4732600,4742300,4744001,4751201,4753900,4757100,7490103,8299799,9511800",RS,8869,Parceiros,1,0,0,1,1,0
110702,AGRIPECAS,9688527,1,25,4530703,"3314711,3314713,4520007,4530704,4642702,4661300,4671100,4732600,4742300,4744001,4744002,4744003,4744005,4744099,4751201,4753900,4755503,4781400,4782201",GO,9325,Parceiros,1,0,1,1,0,0
110867,SSA SORRISO SOLUCOES AGRICOLAS,28719845,1,50,4753900,"3314711,4321500,4649402,4652400,4661300,4669999,4751201,4752100,4757100",MT,9907,Parceiros,1,0,0,1,0,0
110992,AGROCAMPO COMERCIO E REPRESENTACOES AGRICOLAS,29808713,1,68,4744001,"3314711,4614100,4661300,4732600,4751201,7319002,7731400",RS,8889,Parceiros,1,0,0,1,0,0
111231,,14644584,6,57,4614100,"3314711,3314712,4661300",RS,8847,Parceiros,1,0,0,1,1,0
111765,AGRO-FLORESTAL HG,4409435,1,45,4930202,"0230600,4313400,4319300,5212500,4744004,4683400,7731400,0161099,7732201",SC,8397,Parceiros,0,1,0,0,0,0
111781,,4529773,1,10,4930202,"4683400,4632001",RS,8953,Parceiros,0,1,0,0,0,0
111839,C.VALE,77863223,3,79,4632001,"0161001,3314702,3314711,3314712,3314713,3316301,4530703,4683400,4692300,4741500,4763604,4771704,5211799,7490103",PR,7953,Parceiros,0,1,0,1,1,0
112273,C.VALE,77863223,102,50,4632001,"0161001,4530703,4683400,4741500,4771704,5211799,7490103",PR,7673,Parceiros,0,1,0,0,0,0
112302,CIA DA SEMENTE,11763594,1,9,4930202,"4619200,4623106,4683400",PR,7495,Parceiros,0,1,0,0,0,1
112445,GONZATTI AGROPECUARIA,16567255,1,70,4771704,"4612500,4614100,4623106,4683400,4692300,4741500,4744099,6810202,9609208",PR,7719,Parceiros,0,1,0,0,0,0
113030,,8070508,157,95,1071600,"1931400,0113000,6810202,0142300,4623106,7490199,6463800,4662100,4520001,4681805,3513100,3530100,2099199,0159899,4612500,2013401,4683400,0161003,4789099,3314705,3319800,1099603",SP,6235,Parceiros,0,1,0,0,0,0
114313,COLUMBIA TRATORES,5708276,1,42,4789099,"0161003,0161099,2330301,2330302,4110700,4221902,4292801,4299599,4311801,4313400,4330401,4330404,4330499,4391600,4399103,4399104,4512902,4520001,4520002,4520003,4520005,4520007,4530703,4530704,4530705,4541206,4542102,4614100,4731800,4741500,4742300,4744001,4744003,4744004,4744099,4754703,4759899,4930201,4930202,5212500,5223100,5229002,7711000,7731400,7732201,7739099",RO,13,Parceiros,0,0,1,0,0,0
116329,MAAC TRATORES PECAS E IMPL AGRICOLAS,5727489,4,64,4789099,"3314711,3314712,4511101,4511102,4520001,4520007,4530703,4530704,4530705,4732600,4930201,4930202,7731400",MS,9809,Parceiros,0,0,1,1,1,0
124914,METALFOR,4730369,1,0,2833000,"2832100,3321000,5250801,3314711,4632003,4930202",PR,7777,Parceiros,0,0,0,1,0,0
125054,,23403611,1,86,4511101,"7731400,4530703,3314711,3314712,4732600,7490104",GO,9373,Parceiros,0,0,0,1,1,0
125099,,46461828,2,29,4511101,"4530703,4530706,3314711,3314712",SP,6929,Parceiros,0,0,0,1,1,0
125112,AGROSER,2637401,3,44,4789099,"4614100,3314711",RS,8863,Parceiros,0,0,0,1,0,0
125215,PANTANAL PECAS,8599830,1,99,4530703,"3314711,3314712,4530705,4614100,4732600,4744001,4789099",MS,9157,Parceiros,0,0,0,1,1,0
125397,AGROHELP,21241373,1,24,4789099,"3314711,3314717,4744001,4789002,4789004,7732201,7732202,9609208",RS,8785,Parceiros,0,0,0,1,0,0
125423,FORTRON,22182494,1,5,2833000,"0161099,3314711,3314713,3314799",PR,7483,Parceiros,0,0,0,1,0,0
125603,COMBATE,8872646,2,51,161003,"0161001,3314711,7490103,7731400",MS,9165,Parceiros,0,0,0,1,0,0
126312,MAPPER TECNOLOGIA AGRICOLA,39488706,1,80,7319002,3314711,TO,9559,Parceiros,0,0,0,1,0,0
126355,,11492141,15,90,4530701,"3314710,3314711,3314712,3329599,4520001,4530702,4618499,4663000,7490104,7739099",RS,8619,Parceiros,0,0,0,1,1,0
126395,,11492141,16,71,4663000,"3314710,3314711,3314712,3329599,4520001,4530701,4530702,4618499,7490104,7739099",RS,8947,Parceiros,0,0,0,1,1,0
135065,AGRO SHOPPING,448775,1,24,4661300,"3314711,4614100",MT,9151,Parceiros,1,0,0,1,0,0
136571,,10126,4,90,4661300,"4520005,4614100,6810202,4520002",SP,6179,Parceiros,1,0,0,0,0,0
137880,,5748824,1,68,3314711,"4614100,4789099",RS,8757,Parceiros,0,0,0,1,0,0
139323,TRATOWEL,1103413,1,64,4661300,,SC,8027,Parceiros,1,0,0,0,0,0
139747,,45236791,65,56,4661300,"4520001,7731400,0161099,4614100,7112000,3321000,8599604,3314711,7490103,8230001,0161003,5211799,4782201,4781400,4759899,4763602,4763604,4789005,4755503,4530703,4530705,4789004,4744001,4753900,4789099",SP,6969,Parceiros,1,0,0,1,0,0
139748,,45236791,68,7,4661300,"4520001,7731400,0161099,4614100,7112000,3321000,8599604,3314711,7490103,8230001,0161003,5211799,4782201,4781400,4759899,4763602,4763604,4789005,4755503,4530703,4530705,4789004,4744001,4753900,4789099",SP,6317,Parceiros,1,0,0,1,0,0
139854,SHARK TRATORES,47390307,13,43,4661300,"3314711,4520001,4530701,4619200,4669999,4732600,7731400",MS,9173,Parceiros,1,0,0,1,0,1
140328,MECANICA TOKUMI,6353772,1,93,3314711,"4520001,4520002,4520003",PR,7921,Parceiros,0,0,0,1,0,0
140541,TRACAN,2949160,1,7,4661300,"2833000,3321000,4930202,7490104,6463800,4530701,4520001,4763605,3317102,4669999,3313901,4662100,3314717,4789099,3314711,3314712,4530706,4313400,3314716,8599604,7731400",SP,6969,Parceiros,1,0,0,1,1,0
140996,,77013647,1,82,4661300,"3314711,4512901,4930202",PR,7751,Parceiros,1,0,0,1,0,0
141691,UNIPECAS,41368218,1,80,4661300,"3314703,3314711,3314712,4530703,4614100,6810202",MA,803,Parceiros,1,0,0,1,1,0
142055,TERRANEW,7220006,1,13,4661300,"3314711,3314712,4313400,4511101,4511102,4511104,4530703,4541202,4541204,4541206,4542101,4543900,4614100,4662100,4742300,4789099,4923002,7711000,7731400,7732202,7739099,8129000,4541203",PA,54,Parceiros,1,0,0,1,1,0
146321,,2949160,2,98,4661300,"3321000,4789099,3314717,3314711,3314712,4669999,4530706,4313400,3314716,8599604,4662100,4930202,7731400",SP,6209,Parceiros,1,0,0,1,1,0
146355,,53309852,10,12,4661300,"4520001,4530703,4732600,4530705",SP,6449,Parceiros,1,0,0,0,0,0
146728,NATIVA AGRONEGOCIOS,3856216,1,41,4683400,"0111302,0111303,0111399,0112101,0115600,0161099,2013401,2013402,4611700,4612500,4614100,4618401,4622200,4623103,4623106,4632001,4661300,4692300,4789004,5211799,7210000,7490103",MG,4959,Parceiros,1,1,0,0,0,0
147149,MENEGARO COMERCIAL AGRICOLA,4658834,1,40,4661300,"4530705,4781400,4782201,4732600,4789099,3314711,3314712,4512901",SC,8369,Parceiros,1,0,0,1,1,0
147481,,53309852,9,89,4661300,"4520001,4732600,4530705,4512901,4530703",SP,6787,Parceiros,1,0,0,0,0,0
147918,GOIASMAQ - MAQUINAS AGRICOLAS,8760908,1,5,4661300,"4663000,3314711,3314712",GO,9425,Parceiros,1,0,0,1,1,0
148142,TRATORCASE,8641686,2,92,4661300,"3314711,6202300",PR,7777,Parceiros,1,0,0,1,0,0
148271,,9245551,1,90,4683400,"4612500,0161001,0161003,0161099,7731400,4930201,4930202,4313400",PR,7933,Parceiros,0,1,0,0,0,0
148393,TRATORNAN,15925449,6,42,4661300,"3314711,3314712,4530705,4663000,4732600,7731400",MS,9131,Parceiros,1,0,0,1,1,0
149434,RIVAL MAQUINAS AGRICOLAS,11611561,1,43,4661300,"3314711,3314712,4614100,4662100,4930202",GO,9539,Parceiros,1,0,0,1,1,0
149605,TRATORSUL,12032326,1,80,4661300,"3314711,3314712,4614100,7490104",PR,7777,Parceiros,1,0,0,1,1,0
149952,SOMA,13050006,1,15,4683400,"4623108,4623106,4789002,4612500,4614100,0119999,7820500,4611700,0162899,0161099,4661300,0161003,2013402,4622200,4621400,4623199",GO,9641,Parceiros,1,1,0,0,0,0
150126,AGRICASE,5444853,8,2,4661300,"4520001,4530703,4619200,4662100,4732600,7490104,7731400,7732201",PR,7933,Parceiros,1,0,0,0,0,1
150418,AGRO AMAZONIA,13563680,10,94,4683400,"4618499,4622200,4623109,4623199,4644302,4661300,4789099,7490103",MT,8987,Parceiros,1,1,0,0,0,0
150790,AGRO NEW CASE,8479089,1,22,4661300,"3314712,4512902,4520005,4614100,4732600,6463800,7490104,7719599,7820500,8599601",SP,6323,Parceiros,1,0,0,0,1,0
151574,AGRO MASTER,16945056,1,59,3314711,"4520001,3321000,3314712,4520003,4520007,9511800,4530703,4751201",PR,7493,Parceiros,0,0,0,1,1,0
151655,AGRITEX,6098802,5,96,4661300,"4511101,4683400,4623106,3314712,4618499,0161001,0161003",MT,131,Parceiros,1,1,0,0,1,0
151844,COMERCIAL TRATORPECAS MARIO,88605506,3,37,4661300,"3314712,3314711,4614100",RS,8599,Parceiros,1,0,0,1,1,0
152135,PRIMAQ,10322268,1,1,4661300,"3314711,3314712,3314716,3314717,4530705,4541202,4543900,4614100,4619200,4662100,4669999,4692300,4732600,4744001,4789099,6203100,6622300",PA,509,Parceiros,1,0,0,1,1,1
152463,NOVA HOLANDA - TRATORES E IMPLEMENTOS,11069897,5,50,4661300,"3314711,3314712,3314716,3314717,4520001,4530701,4619200,4662100,4669999,4732600,7731400,7732201",MG,4079,Parceiros,1,0,0,1,1,1
152704,IRRIPLAN MAQUINAS,19393807,1,60,4661300,"4520001,4530706,4612500,4614100,4618499,4623106,4632001,4683400,4744005,4763604,7490103",GO,9633,Parceiros,1,1,0,0,0,0
153031,,1382427,3,26,4661300,3314712,SP,7231,Parceiros,1,0,0,0,1,0
153057,BTG PRODUTOS E SERVICOS,20800575,1,4,4661300,"0161003,3314711,3314712,4511102,4511103,4512901,4512902,4520001,4530701,4530702,4530703,4530704,4530705,4530706,4611700,4614100,4619200,4623108,4642701,4643501,4681805,4732600,4763601,4781400,4930201,4930202,4930204,7490104,7731400,8599604",MS,9787,Parceiros,1,0,1,1,1,1
153423,AGRICOLA TERRA NOVA,21958931,1,77,4661300,"0161001,0161099,4512901,4512902,4542101,4614100,4616800,4642701,4789005,4930202,5320202,6493000,6622300,6821801,6821802,7490103,7711000,7731400,7732201,7739099,8130300",RS,8561,Parceiros,1,0,0,0,0,0
153492,ZANINI MAQUINAS AGRICOLAS,22218877,1,96,4661300,"3314711,4922101",PR,7509,Parceiros,1,0,0,1,0,0
154202,COOPERCITRUS,45236791,117,11,4661300,"0161003,0161099,3314711,3321000,4520001,4530703,4530705,4614100,4744001,4753900,4755503,4759899,4763602,4763604,4781400,4782201,4789004,4789005,4789099,5211799,7112000,7120100,7490103,7731400,8230001,8599604",MG,5293,Parceiros,1,0,0,1,0,0
154824,AGRISUL,9510026,1,54,4661300,"3314711,3314712,4530703,4530704,4614100,4732600,4744001",PA,509,Parceiros,1,0,1,1,1,0
155473,MAGPARANA S/A,80220791,12,57,4661300,3314711,PR,7429,Parceiros,1,0,0,1,0,0
155591,,26677742,2,20,4661300,"3314712,4614100,4681805,4781400,4789001,6619399,7731400,7739099",TO,9733,Parceiros,1,0,0,0,1,0
155706,COOPERTCITRUS,45236791,177,52,4661300,"4520001,7731400,0161099,4614100,7112000,3321000,8599604,3314711,7490103,8230001,0161003,5211799,4782201,4781400,4759899,4763602,4763604,4789005,4755503,4530703,4530705,4789004,4744001,4753900,4789099",SP,6597,Parceiros,1,0,0,1,0,0
155925,MAXUM,2227267,4,94,4661300,"3314711,3314712,3314716,4512901,4520001,4520002,4520003,4530703,4530705,4611700,4619200,4622200,4623103,4623199,4732600,4763601,4781400,4782201,4930201,4930202,7731400,8599699",PI,1037,Parceiros,1,0,0,1,1,1
156060,,26677742,3,1,4661300,"3314712,4614100,4681805,4781400,4789001,6619399,7731400,7739099",TO,367,Parceiros,1,0,0,0,1,0
156698,,11492141,7,80,4661300,"3314710,3314711,3314712,4663000,4744001,7490104",PR,7947,Parceiros,1,0,0,1,1,0
156971,,45942349,18,29,4661300,"4512901,4520001",SP,6717,Parceiros,1,0,0,0,0,0
157027,,18460972,7,10,4661300,"3314711,3314712,4614100",MG,4147,Parceiros,1,0,0,1,1,0
157059,BANDEIRA TECNOLOGIA AGRICOLA,31026893,1,78,4661300,"3314711,4614100,4742300,4752100,4763601,8599604,8599699",GO,9561,Parceiros,1,0,0,1,0,0
157773,NEW AGRO,33043080,1,11,4661300,"3314711,3314712,4511101,4511102,4511103",PR,7691,Parceiros,1,0,0,1,1,0
158048,FUTURA SOLUCOES AGRICOLAS,33736652,1,48,4661300,"3314710,3314711,3314712,3314799,4530703,4622200,4623199,4683400,4732600,4930201,4930202",MS,9131,Parceiros,1,1,0,1,1,0
158077,,33043080,2,0,4661300,"3314711,3314712",PR,7667,Parceiros,1,0,0,1,1,0
158349,H.G.V. MAQUINAS,34587891,1,46,4661300,"3314711,3314712,3314716,3314717,4662100,7490104",PE,2521,Parceiros,1,0,0,1,1,0
159861,AGROGPS,41132398,1,5,7490103,"0161099,4661300,7119701,7420002",GO,9373,Parceiros,1,0,0,0,0,0
160245,,88910252,5,22,4789099,"3314711,3314712,4530704,4632001,4661300,4683400,4729699,4751201,4752100,4759899,4781400,4930202,4930203",RS,8595,Parceiros,1,1,1,1,1,0
160272,,88910252,6,3,4789099,"3314711,3314712,4530704,4632001,4661300,4683400,4729699,4751201,4752100,4759899,4781400,4930202,4930203",RS,8619,Parceiros,1,1,1,1,1,0
160599,AUTO ELETRICA E AR CONDICIONADO IPIRANGA,6863810,1,58,4530703,"4520003,4520007,4661300,4669999",MT,1184,Parceiros,1,0,0,0,0,0
160864,MARKA VEICULOS LTDA,53165106,7,5,4511104,"4661300,4511102,4511106,4520001,4520002,4520007,4530701,4530703,4669999,4789099,7490104,7719599",SP,6155,Parceiros,1,0,0,0,0,0
160936,,33302019,21,95,4692300,"4661300,4683400,4611700,4612500,3314711,3321000,4649401,6209100,0161099",GO,9373,Parceiros,1,1,0,1,0,0
161258,MUTUM MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA,8041695,2,42,4511101,"3314711,3314712,4511102,4512901,4530703,4661300,7490104",MA,921,Parceiros,1,0,0,1,1,0
161447,,3060727,7,48,4789099,"3314712,3314711,4614100,4530703,4661300",RS,8791,Parceiros,1,0,0,1,1,0
161497,,15669439,1,89,2449199,"2539001,3314711,3314712,3314717,3321000,4520001,4520004,4520006,4530703,4614100,4661300,4662100,4744001",PR,7467,Parceiros,1,0,0,1,1,0
161540,PIVOT,33302019,25,19,4692300,"4661300,4683400,4611700,4612500,3314711,3321000,4649401,6209100,0161099,4771704",GO,9301,Parceiros,1,1,0,1,0,0
161681,FORTE PECAS AGRICOLAS,8848986,1,66,4744001,"4512902,4530705,4614100,4661300",TO,9559,Parceiros,1,0,0,0,0,0
161814,YOKOTOBI,11735975,1,84,4789099,"4632003,4683400,4623199,4692300,4661300,4623109,3314711,3314713,4619200,4930202,4930201,4511101,7711000",SP,6859,Parceiros,1,1,0,1,0,1
162001,PLANTARE PARTS,29393979,1,97,4669999,"3314711,3314712,4614100,4661300,4789099",RS,8953,Parceiros,1,0,0,1,1,0
162125,AGROTECH,31783537,1,7,4530703,"3314711,4661300,4683400,4789002,4789099,8599604",RS,8591,Parceiros,1,1,0,1,0,0
162352,,33302019,26,8,4692300,"0161099,3314711,3321000,4611700,4612500,4649401,4661300,4683400,4771704,6209100,6810202,6822600",GO,9633,Parceiros,1,1,0,1,0,0
162375,,36237637,1,43,4530703,"3314711,4661300,4683400,4789002,4789099,8599604",RS,8591,Parceiros,1,1,0,1,0,0
162517,CONSTRUAGRO,38092691,1,73,4614100,"0161099,4313400,4661300",PA,573,Parceiros,1,0,0,0,0,0
163412,A RURALISTA COMERCIO DE PRODUTOS AGROPECUARIOS,4885819,5,68,4692300,"4683400,4623109,4644302,4623106",MT,8989,Parceiros,0,1,0,0,0,0
164151,ATUALIZE TECNOLOGIA AGRICOLA,29069798,1,0,7490103,"3314711,4623106,4683400,4789002,4789099",MS,9131,Parceiros,0,1,0,1,0,0
166966,KARIOKA NET,1044651,1,46,4757100,"1821100,1822999,3313999,4322302,4329101,4520003,4520007,4530703,4530704,4530705,4541203,4543900,4751201,4751202,4753900,4755502,4761003,4762800,4763601,4763602,4763603,4763604,6110803,6311900,6319400,7721700,7729202,7990200,8129000,8219901",RO,27,Parceiros,0,0,1,0,0,0
172342,2A AGROTECNOLOGIA,30501963,1,30,4530703,"3299099,3314711,4530704,4614100,4789099,7319002",MT,9925,Parceiros,0,0,1,1,0,0
176270,JFI SILVICULTURA,4450427,1,42,210101,"0161003,3314711,4930201,4930202,4930203",SP,6547,Parceiros,0,0,0,1,0,0
176301,,75526905,6,3,4789099,"3314711,4618499",PR,7953,Parceiros,0,0,0,1,0,0
176375,JUSTI,4800201,1,24,4789099,"3314711,4530705,4611700,4612500,4613300,4614100,4615000,4616800,4617600,4618401,4618402,4618403,4732600,6130200,8020001",GO,9561,Parceiros,0,0,0,1,0,0
177341,CASE,10331054,14,8,4789099,"3314711,3314712,4512901,4530703,4732600,4930201",SC,8027,Parceiros,0,0,0,1,1,0
177492,MGM SERVICOS AGRICOLAS,33996189,1,73,161003,"0161002,0161099,3314711,3314712,4923002,4929901,4930201,7731400",GO,9269,Parceiros,0,0,0,1,1,0
177796,,83085522,2,41,4662100,3314712,SC,8383,Parceiros,0,0,0,0,1,0
179406,DESIGNINVERSO,4505297,1,6,7410203,"7319004,4619200,7410299",SP,6291,Parceiros,0,0,0,0,0,1
185351,AGROMAIS TECNOLOGIA AGRICOLA,39266420,1,50,3314711,4530703,PR,7751,Parceiros,0,0,0,1,0,0
185785,UNAPEL,27252043,1,10,4661300,"3314711,3314712,4110700,4120400,4399101,4614100,4681805,4732600,4789099",GO,9325,Parceiros,1,0,0,1,1,0
185856,AGROTECH TECNOLOGIA E SOLUCOES AGRICOLAS,40580700,1,17,4661300,"3314711,3314712",GO,9425,Parceiros,1,0,0,1,1,0
190048,DEFEND AGRO,734929,1,44,4683400,"4623106,4623108,4611700,8122200,4632003,4622200,4642702",MT,9151,Parceiros,0,1,0,0,0,0
190081,SM TRATORES,2367369,1,62,4661300,"3314711,3314799,4511101,4511102,4512902,4520001,4614100,4663000,4692300",MG,5407,Parceiros,1,0,0,1,0,0
190200,MAXXICASE,5380321,2,63,4661300,"4662100,4732600,4744001,4781400,4729699,2950600,3314711,4614100,4530705,7731400,7719599",MT,9777,Parceiros,1,0,0,1,0,0
190680,VEGRANDE,889654,1,18,4661300,"2539001,3314711,2950600,4512901,4732600",MT,9167,Parceiros,1,0,0,1,0,0
192036,COOPERCITRUS,45236791,18,30,4661300,"4520001,7731400,0161099,4614100,7490103,7112000,3321000,8599604,3314711",SP,6221,Parceiros,1,0,0,1,0,0
192038,COOPERATIVA DOS CAFEICULTORES E CITRIC. DE SAO PAULO,45236791,36,11,4661300,"4520001,7731400,0161099,4614100,7112000,3321000,8599604,3314711,7490103,8230001,0161003,5211799,4782201,4781400,4759899,4763602,4763604,4789005,4755503,4530703,4530705,4789004,4744001,4753900,4789099",SP,7175,Parceiros,1,0,0,1,0,0
192040,,45236791,67,18,4661300,"4520001,7731400,0161099,4614100,7112000,3321000,8599604,3314711,7490103,8230001,0161003,5211799,4782201,4781400,4759899,4763602,4763604,4789005,4755503,4530703,4530705,4789004,4744001,4753900,4789099",SP,6717,Parceiros,1,0,0,1,0,0
192143,SHARK TRATORES,47390307,4,52,4661300,"3314711,4520001,4530701,4619200,4669999,4693100,4732600,7731400",MS,9131,Parceiros,1,0,0,1,0,1
192389,SOMASSEY,52500287,5,46,4661300,"4512901,4520001,4530703",MG,4957,Parceiros,1,0,0,0,0,0
194513,MONTEVIDEL,80350713,1,14,3314711,"4530703,3314712",PR,7469,Parceiros,0,0,0,1,1,0
196484,RISA MAQUINAS,6855894,5,1,4661300,"3314711,3314712,4520001,4530701,4530703,7319002",MA,727,Parceiros,1,0,0,1,1,0
198317,,80511983,1,60,4661300,"3314711,4771704,4683400,4623106,4623109,4614100,4930202",PR,7493,Parceiros,1,1,0,1,0,0
199230,,2210106,1,45,4661300,"3314711,3314712,3314716,4520001,4669999,4789099,7719599,7731400,7490104,3314717,3314799",SP,6163,Parceiros,1,0,0,1,1,0
199514,EQUAGRIL,77310589,18,5,4661300,"4520001,4530701,4619200,4662100,4665600,4669999,4732600,7731400,7732201",PR,7739,Parceiros,1,0,0,0,0,1
199892,"SUPER SAFRA - MAQUINAS, IMPLEMENTOS E PECAS AGRICOLAS",8221162,1,61,4661300,"3314711,4530703,4614100,4663000,4732600,4744001",MT,9185,Parceiros,1,0,0,1,0,0
200405,RAIZES,9048051,1,68,4661300,"3314711,3314717,4614100,4662100,4930202,6209100,7711000,7731400,7732201",PA,567,Parceiros,1,0,0,1,0,0
200990,BURITIS MAQUINAS,95621439,14,62,4661300,4520001,MT,9193,Parceiros,1,0,0,0,0,0
201116,PINESSO MAQUINAS,1113855,3,53,4661300,"4511104,4669999,4530701,4530702,4520001,4681805,4789002,4683400,4520002,4614100,4612500,3314712",MT,8985,Parceiros,1,1,0,0,1,0
