,uf,municipio,porte,4661300,4683400,4530704,3314711,3314712,4619200,cnpj_basico
109,AC,149,Sem Parceria,0,1,0,0,0,0,9
110,AC,149,Sem Parceria,1,0,0,0,0,0,5
111,AC,149,Sem Parceria,1,0,0,0,0,1,2
112,AC,149,Sem Parceria,1,0,0,1,0,0,1
113,AC,149,Sem Parceria,1,1,0,0,0,0,11
114,AC,151,Sem Parceria,0,0,0,0,0,1,3
115,AC,151,Sem Parceria,0,0,0,1,1,0,3
116,AC,151,Sem Parceria,0,0,1,0,0,0,5
117,AC,151,Sem Parceria,0,1,0,0,0,0,2
118,AC,151,Sem Parceria,0,1,0,0,0,1,1
119,AC,151,Sem Parceria,0,1,1,0,0,0,1
120,AC,151,Sem Parceria,1,0,0,0,0,0,2
121,AC,151,Sem Parceria,1,1,0,0,0,0,14
122,AC,151,Sem Parceria,1,1,0,1,0,0,1
123,AC,153,Sem Parceria,0,0,0,0,0,1,8
124,AC,153,Sem Parceria,0,0,0,0,1,0,1
125,AC,153,Sem Parceria,0,0,0,1,0,0,4
126,AC,153,Sem Parceria,0,0,1,0,0,0,11
127,AC,153,Sem Parceria,0,0,1,0,1,0,1
128,AC,153,Sem Parceria,0,1,0,0,0,0,5
129,AC,153,Sem Parceria,0,1,0,0,0,1,1
130,AC,153,Sem Parceria,1,0,0,0,0,0,4
131,AC,153,Sem Parceria,1,0,1,0,0,0,1
132,AC,153,Sem Parceria,1,1,0,0,0,0,1
133,AC,155,Sem Parceria,0,0,0,0,0,1,2
134,AC,155,Sem Parceria,0,0,0,0,1,0,1
135,AC,155,Sem Parceria,0,0,0,1,0,0,3
136,AC,155,Sem Parceria,0,0,1,1,1,0,1
137,AC,155,Sem Parceria,0,1,0,0,0,0,5
138,AC,155,Sem Parceria,1,0,0,0,0,0,2
139,AC,157,Sem Parceria,0,0,0,0,0,1,2
140,AC,157,Sem Parceria,0,0,0,0,1,0,1
141,AC,157,Sem Parceria,0,0,0,1,0,0,4
142,AC,157,Sem Parceria,0,0,1,0,0,0,2
143,AC,157,Sem Parceria,0,1,0,0,0,0,2
144,AC,157,Sem Parceria,1,0,0,0,0,0,2
145,AC,157,Sem Parceria,1,1,0,0,0,0,2
146,AC,643,Sem Parceria,0,0,0,0,0,1,2
147,AC,643,Sem Parceria,0,0,0,0,1,0,1
148,AC,643,Sem Parceria,0,0,0,1,0,0,1
149,AC,643,Sem Parceria,0,0,0,1,1,0,1
150,AC,643,Sem Parceria,0,0,1,0,0,0,12
151,AC,643,Sem Parceria,0,1,0,0,0,0,4
152,AC,643,Sem Parceria,0,1,0,0,0,1,1
153,AC,643,Sem Parceria,1,0,0,0,0,0,2
154,AC,643,Sem Parceria,1,1,0,0,0,0,7
155,AC,643,Sem Parceria,1,1,0,0,0,1,1
156,AC,643,Sem Parceria,1,1,0,1,0,0,1
157,AC,645,Sem Parceria,0,0,0,0,0,1,8
158,AC,645,Sem Parceria,0,0,0,0,1,0,1
159,AC,645,Sem Parceria,0,0,0,1,0,0,1
160,AC,645,Sem Parceria,0,0,1,0,0,0,7
161,AC,645,Sem Parceria,0,1,0,0,0,0,1
162,AC,645,Sem Parceria,0,1,0,0,0,1,1
163,AC,645,Sem Parceria,1,1,0,0,0,0,2
164,AC,647,Sem Parceria,0,0,0,1,0,0,1
165,AC,647,Sem Parceria,0,0,1,0,0,0,2
166,AC,647,Sem Parceria,0,1,0,0,0,0,2
167,AC,647,Sem Parceria,1,0,0,0,0,1,1
168,AC,647,Sem Parceria,1,1,0,0,0,0,2
169,AC,649,Sem Parceria,0,0,0,0,0,1,1
170,AC,649,Sem Parceria,0,0,0,0,1,0,1
171,AC,649,Sem Parceria,0,0,0,1,0,0,4
172,AC,649,Sem Parceria,0,0,1,0,0,0,5
173,AC,649,Sem Parceria,0,0,1,1,1,0,1
174,AC,649,Sem Parceria,0,1,0,0,0,0,6
175,AC,649,Sem Parceria,1,1,0,0,0,1,1
176,AC,649,Sem Parceria,1,1,0,1,0,0,1
177,AC,649,Sem Parceria,1,1,1,0,0,0,1
178,AC,651,Sem Parceria,0,0,0,0,0,1,29
179,AC,651,Sem Parceria,0,0,0,0,1,0,1
180,AC,651,Sem Parceria,0,0,0,0,1,1,1
181,AC,651,Sem Parceria,0,0,0,1,0,0,1
182,AC,651,Sem Parceria,0,0,1,0,0,0,15
183,AC,651,Sem Parceria,0,0,1,0,1,0,3
184,AC,651,Sem Parceria,0,1,0,0,0,0,4
185,AC,651,Sem Parceria,0,1,0,0,0,1,2
186,AC,651,Sem Parceria,1,0,0,0,0,0,13
187,AC,651,Sem Parceria,1,0,0,0,1,0,2
188,AC,651,Sem Parceria,1,0,1,0,0,0,5
189,AC,651,Sem Parceria,1,0,1,0,0,1,1
190,AC,651,Sem Parceria,1,1,0,0,0,0,10
191,AC,651,Sem Parceria,1,1,0,0,0,1,1
192,AC,653,Sem Parceria,0,0,1,0,0,0,1
193,AC,653,Sem Parceria,1,0,0,0,0,0,6
194,AC,655,Sem Parceria,0,0,0,0,0,1,1
195,AC,655,Sem Parceria,0,0,0,1,0,0,1
196,AC,655,Sem Parceria,0,0,1,0,0,0,1
197,AC,655,Sem Parceria,1,0,0,0,0,0,4
198,AC,655,Sem Parceria,1,1,0,0,0,0,1
199,AC,657,Sem Parceria,1,0,0,0,0,0,2
200,AC,659,Sem Parceria,0,0,0,0,0,1,1
201,AC,659,Sem Parceria,1,0,0,0,0,0,1
202,AC,661,Sem Parceria,0,0,1,0,0,0,1
203,AL,560,Sem Parceria,0,1,0,0,0,0,1
204,AL,562,Sem Parceria,0,0,1,0,0,0,1
205,AL,562,Sem Parceria,0,1,0,0,0,0,1
206,AL,971,Sem Parceria,0,0,0,0,0,1,2
207,AL,971,Sem Parceria,0,0,0,0,1,0,6
208,AL,971,Sem Parceria,0,0,0,1,0,0,4
209,AL,971,Sem Parceria,0,0,0,1,1,0,1
210,AL,971,Sem Parceria,0,0,1,0,0,0,18
211,AL,971,Sem Parceria,0,1,0,0,0,0,3
212,AL,971,Sem Parceria,1,1,0,0,0,0,4
213,AL,2641,Sem Parceria,0,0,0,0,0,1,16
214,AL,2641,Sem Parceria,0,0,1,0,0,0,2
215,AL,2641,Sem Parceria,0,1,1,0,0,0,1
216,AL,2643,Sem Parceria,0,0,1,0,0,0,2
217,AL,2643,Sem Parceria,0,1,0,0,0,0,1
218,AL,2643,Sem Parceria,1,0,0,0,0,0,2
219,AL,2645,Sem Parceria,0,0,1,0,0,0,2
220,AL,2701,Sem Parceria,0,0,1,0,0,0,2
221,AL,2701,Sem Parceria,0,1,0,0,0,0,1
222,AL,2703,Sem Parceria,0,0,0,0,0,1,2
223,AL,2703,Sem Parceria,0,0,1,0,0,0,3
224,AL,2703,Sem Parceria,0,1,0,0,0,0,3
225,AL,2703,Sem Parceria,1,1,0,0,0,0,2
226,AL,2705,Sem Parceria,0,0,0,0,0,1,208
227,AL,2705,Sem Parceria,0,0,0,0,1,0,6
228,AL,2705,Sem Parceria,0,0,0,1,0,0,8
229,AL,2705,Sem Parceria,0,0,0,1,1,0,1
230,AL,2705,Sem Parceria,0,0,1,0,0,0,228
231,AL,2705,Sem Parceria,0,0,1,0,1,0,1
232,AL,2705,Sem Parceria,0,0,1,1,1,0,2
233,AL,2705,Sem Parceria,0,1,0,0,0,0,42
234,AL,2705,Sem Parceria,0,1,0,0,0,1,1
235,AL,2705,Sem Parceria,1,0,0,0,0,0,10
236,AL,2705,Sem Parceria,1,0,0,0,0,1,1
237,AL,2705,Sem Parceria,1,0,0,0,1,0,1
238,AL,2705,Sem Parceria,1,0,0,1,1,0,4
239,AL,2705,Sem Parceria,1,0,1,0,0,0,3
